,Ticker,Name,Exchange
202,EURLBP=X,EUR/LBP,CCY
203,ARSDKK=X,ARS/DKK,CCY
204,AWGGBP=X,AWG/GBP,CCY
205,AUDTHB=X,AUD/THB,CCY
206,AUDBOB=X,AUD/BOB,CCY
207,EUR-XAF.F,EUR-XAF.F,
208,AFNUSD=X,AFN/USD,CCY
209,AUDJMD=X,AUD/JMD,CCY
210,AEDSAR=X,AED/SAR,CCY
211,AUDKWD=X,AUD/KWD,CCY
212,AOA=X,USD/AOA,CCY
213,AUDISK=X,AUD/ISK,CCY
214,985840=X,,
215,EURMUR=X,EUR/MUR,CCY
216,AUDDKK=X,AUD/DKK,CCY
217,AUGLE.SW,AUGLE.SW,EBS
218,AUDKES=X,AUD/KES,CCY
219,AEDDKK=X,AED/DKK,CCY
220,ARSSGD=X,ARS/SGD,CCY
221,EUR-JOD.F,EUR-JOD.F,
222,AEDIDR=X,AED/IDR,CCY
223,AUDTMT=X,AUD/TMT,CCY
224,AUDUGX=X,AUD/UGX,CCY
225,AUDBRL=X,AUD/BRL,CCY
226,AOACHF=X,AOA/CHF,CCY
227,AUDARS=X,AUD/ARS,CCY
228,XF000EURPEN5.SG,,
229,AUDAWG=X,AUD/AWG,CCY
230,AUDCNY=X,AUD/CNY,CCY
231,AWGUSD=X,AWG/USD,CCY
232,EURBOB=X,EUR/BOB,CCY
233,HF42.EX,,
234,AUDZAR=X,AUD/ZAR,CCY
235,AEDCHF=X,AED/CHF,CCY
236,AUDPEN=X,AUD/PEN,CCY
237,AEDIQD=X,AED/IQD,CCY
238,AUDBAM=X,AUD/BAM,CCY
239,AOAEUR=X,AOA/EUR,CCY
240,ANGUSD=X,ANG/USD,CCY
241,AZNEUR=X,AZN/EUR,CCY
242,AUDBBD=X,AUD/BBD,CCY
243,AUDSVC=X,AUD/SVC,CCY
244,AUDCOP=X,AUD/COP,CCY
245,ALL=X,USD/ALL,CCY
246,AFNEUR=X,AFN/EUR,CCY
247,ALLCHF=X,ALL/CHF,CCY
248,AUDBSD=X,AUD/BSD,CCY
249,AUDTRY=X,AUD/TRY,CCY
250,AUDSEK=X,AUD/SEK,CCY
251,BTCUSD=X,Bitcoin USD,CCY
252,BWPMAD=X,BWP/MAD,CCY
253,BWPKYD=X,BWP/KYD,CCY
254,BWPISK=X,BWP/ISK,CCY
255,BWPINR=X,BWP/INR,CCY
256,BWPIDR=X,BWP/IDR,CCY
